id,word,meaning,answer,tag,sentence_example,sentence_meaning
1,ikan,something swimming,fish,Easy,明日、友達に会います。,I'll meet my friend tomorrow.
2,kucing,something eating fish,cat,Easy,空は青いです。,The sky is blue.
3,kursi,thing to sit on,chair,Easy,空は青いです。,The sky is blue.
4,dadu,thing to roll,dice,Easy,これは赤いリンゴです。,This is a red apple.
5,nasi,thing to eat,rice,Easy,りんごは赤い です。,The apple is red.
6,ayam,thing that lays egg,chicken,Easy,あの部屋は明るいです。,That room is bright.
7,garpu,accompanied the spoon,fork,Easy,秋はすずしいです。,Autumn is cool.
8,hutan,where the gorilla lives,jungle,Easy,窓を開ける。,Open the window.
9,unta,animal who survive the desert,camel,Easy,窓を開ける。,Open the window.
10,jerapah,animal with long neck,giraffe,Easy,手を上げてください。,Please raise your hand.
